1st round,Group 1,Group 2,Group 3,Group 4,Group 5,Group 6,Group 7,Group 8,Group 9,Group 10,Group 11,Group 12,Group 13,Group 14,Group 15,Group 16,Group 17,Group 18,Group 19,Group 20,Group 21,Group 22,Group 23,Group 24,Group 25,Group 26,Group 27,Group 28,Group 29,Group 30,Group 31,Group 32,Group 33,Group 34,Group 35,Group 36,Group 37,Group 38,Group 39,Group 40,Group 41,Group 42,Group 43,Group 44,Group 45,Group 46,Group 47,Group 48,Group 49,Group 50,Group 51,Group 52,Group 53,Group 54,Group 55,Group 56,Group 57,Group 58,Group 59,Group 60,Group 61,Group 62,Group 63,Group 64
Seeded,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
,whsvin,Grozz,a440,Martin_Pecheur,Weidenbaum,pv4,wolvs,St4nkk,DANeo,funestus,Arne,mwi,Vovka,pajada,Allfather,Sylvain,Dantes,barboucha,kyshantry,pigfans,Tamirys,321letsjam,yaop,Fourierrr,Angor,Cogito3,Sektat,ERock37,Dazzy,totsilence,Jaracz,Boromir7,Gandin,saru,Lander90,FirstOfDao,Momomillion,CaesarSalah,Raffaello,Spartan1337,jezza101,SpartacusImperator,moemoe,Boyo,takusto_II,IdkIdcIdgaf,GerisNezus,RestlessMe,Drikhen,zadokk,jantteri,Phalanxx,Huettengaudi,Vantablack,Papaver,ElChupacabra,Tordread,GerionLannister,BlixLT,Gagic,Ristey,DrRerNate,Flackk,mikechike
,treitze,Goldfinger_,Spence2102,Nightvayne,SuperHans,holy834,MartinW,LeonidasI,Olesch,peposqui,maxolino,CrownKiller,Adamez,Malakesh,Gelato,Mkucharz,MiloslavIII,NFGM,HeirOfValyria,flutter,Zegs,ed_vins,Vangelisb,wittr,Jorrig,Dragonite,Sunmaster14_LV,CouchKing,Sellux,Dvale112,Aranwar,Watlersen,roverandom,Dethar,MidnightFox,Skaiwalker,Obinger_Alphons,belowfox,Straszyk,Masox,zoldaria,maximpodg,Yookie,PhiTrigger,Unterjochen,Gyphon,speedstone,delonecarter,PlanarFreak,Turdle,Praetorianer,Doobie,Rob_Stedman,Kay,WanderingWolf,jhutc,KarlThomas,brunoerwin,BoatyMcBoatface,ciufile,daimx,tupper,Reenter73,ben0728
,DB.Starman,MrBiz,Tasku,fugg,St-Amadeus,Padishar,eNroamer,Magesolo,kenchan,nerficya,maunzzz,BitterBlossom,amaj,ElKhan,brainac,TrilceAC,LordMichael,Shincham,vodka,LordPeter,ChampDeGlace,Gudimundi,Shadowiscool500,Amorin,Thisisnotasmile,phoang,Firedart,Dayvs,Dovi,SimTubez,DavidSegoviano,baodalanxin,DadboBaggins,Sakic19,daggsea,eggmancs,MurphyAKL,pote,Kharny,Dread_84,Balan,yliu386,gamblerch,JimmyLin,raist,Synchro,MoreHat,StonedHenge420,Panthera,Ddafaith,Terence,MrGekz,rcia,Sergeeeee,Budde,Rolls.Royal,Ralf-TtA,GangwonTeacher,Mike1313,Haxxorn,Garghiii,khyung,Barnes,BuWu
,DarKStyle,ZHULIN,silverpaun,ShPini,NixonSparrow,Lenni010,laozhou,Gubbstyv,FireBones,loMucho,Faeyon,beny85,pavelceska,JS619,zhangyuchen,Pitor,saiggo16,Tonino,Sonder.,rrobby,marizee412,CuJ,Ivan04,AnBeLi3v4bLe,Dakeyras,Vegeta4791,Daze,collace,kev5047,Larsusvonundzu,thomas.h.hoff,Mitchum,DieKrake89,Sapiocek,Jume,Monik,RoboKay314,z0pfel,Pulpecja,mowangfeng,javimb89,JoopHuizinga,Trond79,Dzsabo,irule,Rob13,ZioKhan,Ioannis3,luigino71,andykr,Taeveren,NRoy,Cresspahl,Victory7,CRocky,Diogenes,EnozamaIV,Kelern,lhrljr,JohnyT,theussner79,bryanckh,schwam,HopeForLuck
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qualified ,DarKStyle,Grozz,a440,Martin_Pecheur,Weidenbaum,pv4,wolvs,St4nkk,DANeo,funestus,maxolino,mwi,Vovka,ElKhan,Gelato,Sylvain,Dantes,barboucha,kyshantry,pigfans,ChampDeGlace,ed_vins,Shadowiscool500,Fourierrr,Thisisnotasmile,Cogito3,Sunmaster14_LV,ERock37,Dazzy,totsilence,Jaracz,Watlersen,DieKrake89,saru,Lander90,Skaiwalker,Momomillion,belowfox,Raffaello,Spartan1337,zoldaria,maximpodg,moemoe,PhiTrigger,takusto_II,IdkIdcIdgaf,GerisNezus,RestlessMe,PlanarFreak,Turdle,jantteri,Phalanxx,rcia,Victory7,Papaver,ElChupacabra,KarlThomas,GerionLannister,lhrljr,ciufile,theussner79,bryanckh,Barnes,mikechike
,treitze,MrBiz,Spence2102,Nightvayne,St-Amadeus,holy834,eNroamer,LeonidasI,Olesch,peposqui,maunzzz,BitterBlossom,amaj,pajada,zhangyuchen,Pitor,LordMichael,NFGM,Sonder.,flutter,Tamirys,321letsjam,yaop,Amorin,Dakeyras,Dragonite,Sektat,Dayvs,Sellux,SimTubez,Aranwar,Boromir7,Gandin,Dethar,MidnightFox,eggmancs,Obinger_Alphons,pote,Kharny,Masox,jezza101,SpartacusImperator,Yookie,Dzsabo,Unterjochen,Gyphon,ZioKhan,delonecarter,Drikhen,andykr,Praetorianer,Doobie,Huettengaudi,Vantablack,Budde,jhutc,Tordread,brunoerwin,BoatyMcBoatface,Gagic,Ristey,DrRerNate,schwam,ben0728
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
