,,place,player,points,#,wrld,ic_24,ic_25,ic_26,ic_27,im_21,im_22,im_23,im_24,rl_01,rl_02,,snail,wmbl,aus,eif,ml,qd
,,1,Weidenbaum,7 657,11,1600,1000,510,570,750,1000,1000,1000,450,657,650,,,,,,,
,,2,Martin_Pecheur,6 687,13,2500,260,230,550,570,600,750,450,550,657,510,,,,100,,,450
,,3,pv4,6 330,14,1900,550,570,510,650,450,550,600,1000,510,420,,350,,400,,,280
,,4,Eepogi,4 280,17,450,200,300,280,550,75,92,125,300,230,180,,1000,30,50,800,245,600
,,5,saru,4 240,15,370,200,170,300,350,100,165,230,280,470,470,,,1000,1000,180,120,
,,6,wolvs,4 230,16,140,165,230,150,300,250,300,550,750,310,270,,,10,100,1000,750,90
,,7,Lcfyx,4 150,13,1100,150,300,260,230,330,410,280,140,410,570,,580,,,,,450
,,8,pajada,4 130,14,310,410,550,470,410,230,180,150,165,360,550,,,,100,,1000,380
,,9,DANeo,3 820,10,370,,,150,300,410,410,550,600,440,440,,,,,,,600
,,10,Tordread,3 590,15,650,550,440,310,310,410,250,140,100,150,135,,,,660,90,260,50
,,11,Eske,3 500,7,370,,,,,750,600,750,510,260,260,,,,,,,
,,12,Majondor,3 395,10,525,750,470,550,510,165,180,230,150,,,,,,,,,180
,,13,funestus,3 330,9,,440,410,410,550,125,230,300,330,,,,,,660,,,
,,14,totsilence,3 300,15,650,280,280,410,350,125,165,300,330,420,210,,,500,50,,330,310
,,15,whsvin,3 260,4,,510,750,1000,1000,,,,,,,,,,,,,
,,16,dannyboy14,3 130,9,310,300,410,650,470,300,280,230,410,,,,,,,,,
,,17,mwi,2 910,14,140,165,200,170,230,92,125,300,280,190,200,,660,,400,,640,
,,18,Angor,2 830,10,240,230,200,140,125,550,510,410,,550,,,,,50,,,
,,19,barboucha,2 765,10,450,165,,,150,300,550,510,,,,,,500,50,,84,140
,,20,Oprah,2 725,13,260,140,80,105,95,165,300,330,550,200,,,,,50,580,340,
,,21,Fourierrr,2 705,13,525,92,165,300,260,300,280,230,140,170,260,,,,,,440,340
,,22,Pascalotopia,2 670,3,1100,570,1000,,,,,,,,,,,,,,,
,,23,Dazzy,2 580,12,240,,,,,180,300,330,250,320,300,,310,60,200,,520,250
,,24,Brightfuture,2 490,15,450,125,230,200,140,85,92,125,165,230,230,,,,100,300,400,450
,,25,Sektat,2 420,12,260,310,280,350,280,330,330,280,230,170,160,,,,,,,45
,,26,Flackk,2 365,12,650,105,105,125,95,150,125,165,180,285,360,,450,,,,,
,,26,CaesarSalah,2 365,15,525,130,105,95,165,92,165,140,165,115,185,,,,100,720,240,200
,,28,321letsjam,2 361,13,650,46,92,105,165,46,92,125,,440,250,,510,,50,,116,
,,29,Vantablack,2 360,12,800,170,170,130,85,280,150,85,47,,,,,,100,520,140,
,,30,Gandin,2 355,13,370,150,150,300,410,165,300,410,250,135,125,,,,10,,,110
