,,place,player,points,#,wrld,ic_28,ic_29,ic_30,ic_31,im_25,im_26,im_27,im_28,rl_03,rl_04,rl_05,rl_06,wmbl,aus,sl,ml,eif,qd,ldrb,
,,1,Eepogi,6 600,17,1600,650,750,470,410,370,580,750,750,285,320,360,300,,180,520,350,,95,1000,530
,,2,Martin_Pecheur,6 480,17,1250,470,310,280,350,630,540,310,250,650,1000,650,1000,,300,750,158,,310,550,10
,,3,pv4,5 930,16,1250,570,1000,510,440,1000,480,310,340,440,440,550,570,,100,1,,,450,400,0
,,4,saru,5 670,18,1100,550,510,440,240,340,310,250,,510,650,510,750,1000,180,184,370,150,25,600,90
,,5,wolvs,5 560,17,1100,550,440,550,470,750,630,540,580,310,550,440,,180,500,290,750,,600,600,50
,,6,Grozz,5 445,18,320,350,410,350,550,250,340,580,630,360,410,750,650,300,660,440,1000,,525,625,100
,,7,DANeo,5 110,18,700,260,300,550,1000,540,370,370,280,550,750,470,550,300,100,240,210,,55,350,0
,,8,Weidenbaum,4 505,15,320,440,240,230,280,580,1000,480,440,470,360,410,470,,10,92,,,,625,215
,,9,Majondor,4 490,14,390,1000,470,410,310,185,180,140,140,,440,1000,470,,,245,,,85,0,0
,,10,totsilence,4 470,12,320,350,240,170,130,580,750,1000,1000,230,,,,100,180,,,,,100,0
,,11,funestus,3 980,9,,750,570,570,750,370,440,280,250,,,,,,180,,,,,,
,,12,pajada,3 830,16,700,410,280,260,230,340,440,370,370,420,190,150,200,,100,480,640,,,,
,,13,mwi,3 680,17,700,300,550,750,570,250,210,180,185,310,250,200,190,,40,114,95,,180,,
,,14,Arne,3 530,16,390,240,300,350,550,310,340,440,310,410,300,310,410,,100,640,,,140,,
,,15,a440,3 450,1,2500,,,,,,,,,,,,,,,,,,,950,950
,,16,Gandin,3 330,15,470,310,260,200,140,340,580,630,480,130,125,150,230,,,260,,,65,,
,,17,Lcfyx,3 180,13,950,140,165,230,300,185,250,180,140,570,420,230,230,,,,,,,,
,,18,Lech,3 030,14,320,200,170,300,280,440,370,580,540,190,135,115,130,,,144,,,,,
,,19,Sektat,2 990,17,320,410,350,240,200,440,280,340,440,150,230,210,360,,100,122,330,,160,,
,,20,ben0728,2 952,9,210,,,,,,,,,1000,570,420,210,180,10,132,,230,,,
,,21,Dazzy,2 910,15,260,,,,,250,160,140,115,260,310,320,320,180,300,340,570,490,35,,
,,22,CaesarSalah,2 820,17,470,230,140,85,85,210,180,115,100,190,170,210,210,,10,53,300,1000,,,
,,23,Lambda,2 680,5,,310,550,650,510,,,,,,,,,,660,,,,,,
,,24,dannyboy14,2 610,9,260,280,310,280,240,310,250,340,580,,,,,,,,,,,,
,,25,Gutemetralla,2 608,9,130,,,,,,30,56,102,440,470,570,440,,,,400,,,,
,,26,Wanderlust,2 597,11,1400,,,,,64,64,76,,90,185,230,190,,10,320,106,,,,
,,27,Genghisip,2 485,4,,,650,1000,650,,,185,,,,,,,,,,,,,
,,28,yaop,2 430,16,570,46,92,95,125,185,210,180,90,80,130,285,360,,40,370,270,,,,
,,29,FirstOfDao,2 425,18,210,125,165,170,130,140,140,185,180,300,190,150,230,500,180,97,280,530,,,
,,30,Allfather,2 415,14,700,92,165,300,310,102,185,250,210,95,130,230,230,,40,,,,,,
,,31,Boromir7,2 410,14,260,260,300,240,170,280,340,280,340,,,,,180,180,235,,350,120,,
,,32,Gilgamesh2,2 405,12,570,,69,165,140,102,140,140,100,230,210,440,510,,,,,,,,
,,33,Praetorianer,2 336,18,390,170,140,165,150,340,310,210,160,360,270,260,180,40,180,196,130,120,,,
,,34,RestlessMe,2 295,18,390,105,165,140,95,160,115,185,210,180,230,310,250,,10,400,172,320,10,,
,,34,Cogito3,2 295,18,320,30,46,85,125,185,210,180,140,60,120,230,260,,300,160,340,450,110,,
,,36,Dantes,2 260,16,700,,92,165,230,180,185,160,140,160,115,130,285,,180,200,250,,230,,
,,37,Spartan1337,2 250,16,700,105,95,165,170,102,115,185,210,110,105,70,80,,300,,,270,250,,
,,38,Sylvain,2 230,7,570,,,,165,,,,250,200,230,,,,,570,245,,,,
,,39,Raffaello,2 190,17,170,46,92,125,165,102,100,76,185,80,130,200,440,,500,68,150,,380,,
,,40,jezza101,2 180,16,170,165,150,200,170,56,76,76,102,230,260,270,,,300,87,,580,5,,
,,41,scipio238,2 160,15,260,200,230,300,350,180,140,185,340,130,200,190,200,,,38,,,280,,
,,42,ElChupacabra,2 155,18,390,105,105,80,52,115,185,210,160,150,200,180,125,,10,136,124,680,140,,
,,43,Vovka,2 145,12,570,46,92,165,300,102,185,250,180,,75,185,310,,,,,,,,
,,44,Tordread,2 100,17,130,280,280,310,260,140,140,100,,200,360,250,135,40,10,64,160,100,,,
,,45,GerisNezus,2 075,15,390,92,125,,165,210,180,115,115,120,150,,135,,500,215,205,210,,,
,#N/A,46,jantteri,2 065,17,170,92,105,95,80,115,115,100,102,90,150,150,105,,10,350,215,800,,,
,,47,Flackk,2 040,16,570,85,105,125,105,210,250,250,160,250,150,170,160,,40,60,,180,,,
,,48,Brightfuture,2 031,15,390,165,170,140,105,180,185,340,280,180,,,,,100,176,142,300,120,,
,,49,Fourierrr,2 010,14,260,230,230,150,200,115,90,102,115,320,,,,,300,156,240,,230,,
,,50,barboucha,2 008,8,,,165,,,,340,440,310,,,,260,,,83,310,,100,,
,,51,ERock37,1 965,15,170,,69,92,125,102,185,210,340,60,95,150,150,,40,280,480,,,,
,,52,Ristey,1 940,19,570,125,105,75,69,160,100,49,56,100,150,125,110,10,10,270,85,200,340,,
