World Championship (2025 format),,,,,,,,,,,,World Championship (2027 format),,,,,,,,,,,,
2500,,,,-42%,-42%,-42%,-42%,-42%,-42%,,,2500,,,,-46%,-46%,-46%,-46%,-46%,-42%,,,
,,,100%,58%,34%,20%,11%,"6,6%","3,8%",,,,,,100%,54%,29%,16%,9%,"4,6%","2,7%",,,
,,MROUND,100,50,25,10,10,5,5,,,,,MROUND,10,50,25,10,10,5,5,,,
,,Group Place,Stage 8,Stage 7,Stage 6,Stage 5,Stage 4,Stage 3,Stage 2,Stage 1,,,,"# ""groups""",1,3,8,20,45,,,,,
,100%,1,2500,,,,,,,,,,,Group Place,F+SF,Stage 4,Stage 3,Stage 2,Stage 1B,Stage 1A,,,,
-24%,76%,2,1900,1250,700,390,210,115,65,,,,100%,1,2500,,,,,,,,,
-16%,64%,3,1600,1100,570,320,170,95,55,,,-20%,80%,2,2000,,,,,,,,,
-16%,54%,4,1400,950,470,260,140,80,45,20,,-15%,68%,3,1700,,,,,,,,,
,,0,,,,,,130,75,,,-12%,60%,4,1500,,,,,,,,,
,,,,,,,,,,,,-10%,54%,5,1350,,,,,,,,,
,,,,,,,,,,,,-7%,50%,6,1250,720,,200,,,,,,
International Championship,,,,,,,,,,,,-4%,48%,7,1200,690,375,190,100,,,,,
1000,,,,-45%,-45%,-45%,-45%,-50%,,,,-4%,46%,8,1150,660,360,180,95,,,,,
,,,100%,55%,30%,17%,"9,2%","4,6%",,,,-4%,44%,9,1100,630,345,170,90,40,,,,
,,MROUND,10,10,10,5,1,1,,,,-4%,43%,10,1060,600,330,160,86,37,,,,
,,Group Place,Grandmaster,Master,Platinum,Gold,Silver,Bronze,Wood,,,-4%,41%,11,1020,570,315,150,82,34,,,,
,100%,1,1000,550,300,165,92,46,27,,,-4%,39%,12,980,540,300,145,78,31,,,,
-25%,75%,2,750,410,230,125,69,34,20,,,-4%,38%,13,940,510,285,140,74,28,,,,
-14%,65%,3,650,350,200,105,59,30,15,,,-4%,36%,14,900,480,270,135,70,25,,,,
-12%,57%,4,570,310,170,95,52,26,10,,,-4%,35%,15,860,450,255,130,67,22,,,,
-10%,51%,5,510,280,150,85,47,23,6,,,-4%,33%,16,820,420,240,125,64,20,,,,
-8%,47%,6,470,260,140,80,43,22,3,,,,,,,,,,,,,,,
-6%,44%,7,440,240,130,75,40,20,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Intermezzo Championship,,,,,,,,,,,,,,,,,,,,,,,,
1000,,,,-45%,-45%,-45%,-45%,-50%,,,,,,,,,,,,,,,,
,,,100%,55%,30%,17%,"9,2%","4,6%",,,,,,,,,,,,,,,,
,,MROUND,10,10,10,5,1,1,,,,,,,,,,,,,,,,
,,Group Place,Grandmaster,Master,Platinum,Gold,Silver,Bronze,Wood,,,,,,,,,,,,,,,
,100%,1,1000,580,340,185,102,56,30,,,,,,,,,,,,,,,
-25%,75%,2,750,440,250,140,76,42,20,,,,,,,,,,,,,,,
-20%,60%,3,630,370,210,115,64,35,12,,,,,,,,,,,,,,,
-15%,51%,4,540,310,180,100,55,30,6,,,,,,,,,,,,,,,
-12%,45%,5,480,280,160,90,49,27,5,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Royal League,,,,,,,,,,,,,,,,,,,,,,,,
1000,,,,-45%,-35%,-35%,-35%,-35%,-35%,-35%,,,,,,,,,,,,,,
,,,100%,55%,36%,23%,15%,10%,"6,4%","4,1%",,,,,,,,,,,,,,
,,MROUND,10,10,10,5,5,5,1,1,,,,,,,,,,,,,,
,,Group Place,Emperor,King,Prince,Duke,Marquess,Count,Viscount,Baron,Knight,,,,,,,,,,,,,
,,0,,,440,285,185,120,75,48,30,,,,,,,,,,,,,
,100%,1,1000,550,360,230,150,95,60,38,20,,,,,,,,,,,,,
-14%,86%,2,750,470,310,200,130,80,52,32,15,,,,,,,,,,,,,
-14%,74%,3,650,410,260,170,110,70,44,28,11,,,,,,,,,,,,,
-12%,65%,4,570,360,230,150,100,60,39,25,8,,,,,,,,,,,,,
-10%,59%,5,510,320,210,135,90,55,35,22,6,,,,,,,,,,,,,
-8%,54%,6,470,300,190,125,80,50,32,20,4,,,,,,,,,,,,,
-8%,50%,7,440,270,180,115,75,45,30,19,2,,,,,,,,,,,,,
-8%,46%,8,420,250,160,105,70,45,27,17,1,,,,,,,,,,,,,
,,8 (excl.),0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Wimbledon,,,,,,,,,,,,,,,,,,,,,,,,
1000,,Group Place,Final,SF,R8,R7,R6,R5,R4,R3,R2,,,,,,,,,,,,,
,,1,1000,,,,,,,,,,,,,,,,,,,,,
,,2,770,480,350,240,150,90,45,25,10,,,,,,,,,,,,,
,,3,650,,,,,,,,,,,,,,,,,,,,,
,,4,600,,,,,,,,,,,,,,,,,,,,,
,,5,550,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Australian Open,,,,,,,,,,,,,,,,,,,,,,,,
1000,,Group Place,Final,SF,QF,R32,R64,R128,R256,,,,,,,,,,,,,,,
,,1,1000,,,,,,,,,,,,,,,,,,,,,
,,2,660,,,,,,,,,,,,,,,,,,,,,
,,3,660,500,300,180,100,40,10,,,,,,,,,,,,,,,
,,4,660,500,300,180,100,40,10,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Eiffel Tower,,,,,,,,,,,,,,,,,,,,,,,,
1000,,,,-70%,-40%,-40%,-50%,,,,,,,,,,,,,,,,,
,,,100%,30%,18%,11%,5%,,,,,,,,,,,,,,,,,
,,MROUND,10,5,1,1,1,,,,,,,,,,,,,,,,,
,,Group Place,The Top,The Elevator,2nd Floor,The Stairs,Other,,,,,,,,,,,,,,,,,
,100%,1,1000,350,210,126,63,,,,,,,,,,,,,,,,,
-20%,80%,2,800,280,168,101,48,,,,,,,,,,,,,,,,,
-10%,72%,3,680,240,143,86,41,,,,,,,,,,,,,,,,,
-10%,65%,4,580,200,121,73,34,,,,,,,,,,,,,,,,,
-10%,58%,5,530,185,112,67,32,,,,,,,,,,,,,,,,,
-10%,52%,6,490,170,103,62,29,,,,,,,,,,,,,,,,,
-10%,47%,7,450,160,95,57,26,,,,,,,,,,,,,,,,,
-10%,43%,8,410,145,87,52,24,,,,,,,,,,,,,,,,,
-10%,38%,9,380,135,80,48,22,,,,,,,,,,,,,,,,,
-10%,34%,10,350,125,74,44,20,,,,,,,,,,,,,,,,,
-10%,31%,11,320,115,68,41,18,,,,,,,,,,,,,,,,,
-10%,28%,12,300,105,62,37,17,,,,,,,,,,,,,,,,,
-10%,25%,13,270,95,57,34,15,,,,,,,,,,,,,,,,,
-10%,23%,14,250,90,53,32,14,,,,,,,,,,,,,,,,,
-10%,20%,15,230,80,49,29,13,,,,,,,,,,,,,,,,,
-10%,18%,16,210,75,45,27,11,,,,,,,,,,,,,,,,,
-10%,16%,17,200,70,41,25,10,,,,,,,,,,,,,,,,,
-10%,15%,18,180,65,38,23,9,,,,,,,,,,,,,,,,,
-10%,13%,19,170,60,35,21,8,,,,,,,,,,,,,,,,,
-10%,12%,20,150,55,32,19,8,,,,,,,,,,,,,,,,,
-10%,11%,21,140,50,29,18,7,,,,,,,,,,,,,,,,,
-10%,10%,22,130,45,27,16,6,,,,,,,,,,,,,,,,,
-10%,9%,23,120,40,25,15,5,,,,,,,,,,,,,,,,,
-10%,8%,24,110,40,23,14,5,,,,,,,,,,,,,,,,,
-10%,7%,25,100,35,21,13,4,,,,,,,,,,,,,,,,,
,,<0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Mercurial Ladder  / Sodium Ladder,,,,,,,,,,,,,,,,,,,,,,,,
,Mercurial leaderboard is created based on total points gained during previous 10 rounds,,,,,,,,,,,,,,,,,,,,,,,
1000,,,,-20%,-20%,-20%,-20%,-20%,-20%,-20%,-20%,-20%,-20%,-20%,-20%,-20%,-20%,-20%,-20%,-20%,-20%,-20%,-20%,-20%
,,,100%,80%,64%,51%,41%,33%,26%,21%,17%,13%,11%,9%,7%,5%,4%,4%,3%,2%,2%,#REF!,#REF!,#REF!
,,MROUND,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,Round Place,Rung 1,Rung 2,Rung 3,Rung 4,Rung 5,Rung 6,Rung 7,Rung 8,Rung 9,Rung 10,Rung 11,Rung 12,Rung 13,Rung 14,Rung 15,Rung 16,Rung 17,Rung 18,Rung 19,Rung 21,Rung 22,Rung 23+
,100%,1,1000,800,640,512,410,328,262,210,168,134,107,86,69,55,44,35,28,23,18,#REF!,#REF!,#REF!
,40%,2,400,320,256,205,164,131,105,84,67,54,43,34,27,22,18,14,11,9,7,#REF!,#REF!,#REF!
,0%,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#REF!,#REF!,#REF!
,,,,,,,,,,,,,,,,,,,,,,,,
,Sodium leaderboard is created based on total points gained during previous 12 months (8 rounds),,,,,,,,,,,,,,,,,,,,,,,
1000,,,,-20%,-20%,-20%,-20%,-20%,-20%,-20%,-20%,-20%,-20%,-20%,-20%,-20%,-20%,-20%,-20%,-20%,-20%,-20%,-20%,-20%
,,,100%,80%,64%,51%,41%,33%,26%,21%,17%,13%,11%,9%,7%,5%,4%,4%,3%,2%,2%,#REF!,#REF!,#REF!
,,MROUND,10,10,10,10,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1
,,Round Place,Rung 1,Rung 2,Rung 3,Rung 4,Rung 6,Rung 8,Rung 10,Rung 12,Rung 14,Rung 16,Rung 18,Rung 20,Rung 22,Rung 24,Rung 26,Rung 28,Rung 30,Rung 32,Rung 34,Rung 38,Rung 40,Rung 40+
,100%,1,1000,800,640,510,410,330,260,210,170,135,105,86,69,55,44,35,28,23,18,#REF!,#REF!,#REF!
,50%,2,500,400,320,260,205,165,130,105,85,65,55,43,34,27,22,18,14,11,9,#REF!,#REF!,#REF!
,17%,3,170,130,110,90,70,55,45,35,30,20,20,14,11,9,7,6,5,4,3,#REF!,#REF!,#REF!
,0%,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#REF!,#REF!,#REF!
,,,,,,,,,,,,,,,,,,,,,,,,
