,,place,player,points,#,wrld,ic_30,ic_31,ic_32,ic_33,im_27,im_28,im_29,im_30,rl_05,rl_06,rl_07,rl_08,wmbl,aus,sl,ml,eif,qd
,,1,wolvs,6 320,16,1100,550,470,310,310,540,580,1000,1000,440,,,550,240,500,300,1000,,525
,,2,Grozz,5 960,18,320,350,550,1000,750,580,630,630,750,750,650,510,510,650,660,520,750,,600
,,3,Martin_Pecheur,5 690,18,1250,280,350,280,550,310,250,340,580,650,1000,570,650,240,300,440,168,,85
,,4,Eepogi,5 640,16,1600,470,410,550,570,750,750,540,370,360,300,,,150,180,260,76,,40
,,5,saru,5 390,17,1100,440,240,200,200,250,,210,250,510,750,1000,1000,10,180,210,340,150,
,,6,pv4,5 360,13,1250,510,440,,,310,340,580,480,550,570,650,420,770,100,,,,
,,7,DANeo,5 060,15,700,550,1000,470,,370,280,,,470,550,750,570,150,100,29,164,,55
,,8,Weidenbaum,4 470,16,320,230,280,550,650,480,440,440,440,410,470,440,360,1000,10,136,,,
,,9,totsilence,4 250,11,320,170,130,165,200,1000,1000,750,630,,,,,150,180,,,,
,,10,Arne,4 100,17,390,350,550,570,470,440,310,340,370,310,410,470,440,45,100,750,,,25
,,11,mwi,4 040,15,700,750,570,650,440,180,185,250,,200,190,230,310,,40,225,370,,
,,12,Majondor,3 650,15,390,410,310,350,410,140,140,185,310,1000,470,270,230,,,60,,,15
,,13,yaop,3 615,17,570,95,125,125,300,180,90,76,76,285,360,550,750,25,40,570,230,,
,,14,Genghisip,3 585,5,,1000,650,750,1000,185,,,,,,,,,,,,,
,,15,funestus,3 460,9,,570,750,510,510,280,250,250,340,,,,,,180,,,,
,,16,Vovka,3 190,13,570,165,300,350,550,250,180,185,340,185,310,360,410,,,,,,
,,17,Dazzy,3 180,15,260,,,,,140,115,90,76,320,320,310,320,480,300,370,570,490,35
,,18,scipio238,3 150,13,260,300,350,410,350,185,340,580,540,190,200,180,,,,,,,280
,,19,ERock37,3 110,16,170,92,125,105,,210,340,370,580,150,150,160,90,10,40,640,640,,
,,20,Gandin,3 080,15,470,200,140,125,,630,480,440,,150,230,360,270,45,,164,47,,65
,,20,pajada,3 080,16,700,260,230,140,165,370,370,280,160,150,200,210,,350,100,270,480,,
,,20,Raffaello,3 080,18,170,125,165,150,230,76,185,250,340,200,440,470,470,90,500,114,200,,380
,,23,Lech,2 970,13,320,300,280,260,300,580,540,370,280,115,130,,,150,,215,,,
,,24,Gilgamesh2,2 825,9,570,165,140,,,140,100,,,440,510,420,440,,,,,,
,,25,dannyboy14,2 820,9,260,280,240,200,170,340,580,480,440,,,,,,,,,,
,,26,Dantes,2 765,18,700,165,230,300,410,160,140,185,180,130,285,300,245,240,180,245,280,,230
,,27,Lcfyx,2 720,11,950,230,300,240,200,180,140,185,340,230,230,,,,,,,,
,,28,CaesarSalah,2 710,18,470,85,85,125,170,115,100,76,55,210,210,230,210,25,10,87,210,1000,
,,29,Sektat,2 640,17,320,240,200,200,230,340,440,310,180,210,360,320,180,90,100,144,310,,
,,29,Allfather,2 640,17,700,300,310,240,150,250,210,160,100,230,230,310,300,25,40,9,84,,
,,31,Gutemetralla,2 620,11,130,,,,,56,102,140,140,570,440,410,250,150,,,520,,
,,32,Wanderlust,2 580,8,1400,,,,,76,,,,230,190,,,480,10,146,48,,
,,33,Lambda,2 520,5,,650,510,440,260,,,,,,,,,,660,,,,
,,34,Sylvain,2 505,8,570,,165,230,,,250,250,,,,,,240,,480,320,,
,,35,a440,2 500,1,2500,,,,,,,,,,,,,,,,,,
,,36,FirstOfDao,2 405,18,210,170,130,105,105,185,180,140,115,150,230,210,360,240,180,156,440,530,
,,37,Cogito3,2 390,19,320,85,125,125,170,180,140,90,76,230,260,260,190,90,300,220,350,450,110
,,38,Spartan1337,2 375,17,700,165,170,140,165,185,210,210,250,70,80,130,105,45,300,,,270,250
,,39,Boromir7,2 360,13,260,240,170,150,170,280,340,310,180,,,,,,180,400,,350,120
