,,place,player,points,#,wrld,ic_32,ic_33,,,im_29,im_30,,,rl_07,rl_08,,,wmbl,aus,surv,ml,sl,qd
,,1,Grozz,4 380,13,260,1000,750,,,630,750,,,510,510,,,650,500,560,336,525,600
,,2,wolvs,3 970,11,260,310,310,,,1000,1000,,,,550,,,240,40,410,700,147,
,,3,pv4,3 900,9,260,,,,,580,480,,,650,420,,,770,1000,190,,,380
,,4,Weidenbaum,3 740,11,260,550,650,,,440,440,,,440,360,,,1000,660,410,,161,
,,5,Martin_Pecheur,3 230,13,470,280,550,,,340,580,,,570,650,,,240,40,410,158,259,340
,,6,DANeo,3 070,10,470,470,,,,,,,,750,570,,,150,500,40,64,55,310
,,7,Arne,3 020,12,260,570,470,,,340,370,,,470,440,,,45,10,120,,700,250
,,8,saru,2 920,12,260,200,200,,,210,250,,,1000,1000,,,10,180,190,175,189,
,,9,ERock37,2 518,11,470,105,,,,370,580,,,160,90,,,10,300,120,399,399,
,,10,yaop,2 458,12,260,125,300,,,76,76,,,550,750,,,25,100,120,150,448,
,,11,mwi,2 408,10,260,650,440,,,250,,,,230,310,,,,100,300,448,172,
,,12,Eepogi,2 370,6,,550,570,,,540,370,,,,,,,150,,190,,,
,,13,Vovka,2 310,9,260,350,550,,,185,340,,,360,410,,,,300,80,,,
,,14,totsilence,2 305,7,260,165,200,,,750,630,,,,,,,150,300,,,,
,,15,Majondor,2 110,10,470,350,410,,,185,310,,,270,230,,,,,300,,90,30
,,16,Lech,2 090,8,470,260,300,,,370,280,,,,,,,150,,410,,203,
,,17,Raffaello,2 070,13,260,150,230,,,250,340,,,470,470,,,90,40,40,168,129,280
,,18,scipio238,2 060,5,,410,350,,,580,540,,,180,,,,,,,,,
,,19,Dantes,2 025,13,470,300,410,,,185,180,,,300,245,,,240,40,300,238,238,230
,,20,Dazzy,1 868,11,170,,,,,90,76,,,310,320,,,480,100,40,308,280,35
,,21,Gandin,1 865,10,260,125,,,,440,,,,360,270,,,45,100,410,76,,25
,,22,funestus,1 830,6,,510,510,,,250,340,,,,,,,,100,120,,,
,,23,barboucha,1 810,8,,,230,,,340,310,,,,,,,150,660,80,120,33,
,,24,Genghisip,1 750,2,,750,1000,,,,,,,,,,,,,,,,
,,25,Pitor,1 736,11,260,27,92,,,56,185,,,170,230,,,,660,40,231,105,
,,26,Gutemetralla,1 735,7,260,,,,,140,140,,,410,250,,,150,,,525,,
,,27,Lander90,1 726,13,470,165,280,,,102,210,,,125,130,,,240,40,190,99,336,70
,,28,Sektat,1 620,12,260,200,230,,,310,180,,,320,180,,,90,180,300,97,66,
,,29,moemoe,1 615,13,210,69,125,,,340,280,,,185,190,,,45,40,410,43,158,20
,,30,zoldaria,1 577,10,470,46,92,,,56,140,,,,,,,550,100,190,104,123,
,,31,FirstOfDao,1 574,12,260,105,105,,,140,115,,,210,360,,,240,10,120,364,98,
,,32,dannyboy14,1 550,5,260,200,170,,,480,440,,,,,,,,,,,,
,,33,Momomillion,1 506,13,260,170,230,,,115,115,,,80,130,,,45,100,40,259,137,450
,,34,pajada,1 475,11,260,140,165,,,280,160,,,210,,,,350,40,120,210,106,
,,35,Sylvain,1 456,7,260,230,,,,250,,,,,,,,240,100,,245,231,
,,36,holy834,1 448,12,260,59,52,,,64,55,,,150,170,,,600,40,190,78,36,
,,37,Huettengaudi,1 425,11,170,92,165,,,102,140,,,,,,,240,300,410,134,48,45
,,38,Boromir7,1 414,9,210,150,170,,,310,180,,,,,,,,180,80,,364,100
,,39,Allfather,1 410,12,210,240,150,,,160,100,,,310,300,,,25,10,190,111,38,
,,40,321letsjam,1 390,9,260,300,240,,,280,160,,,,150,,,,100,80,132,,
,,41,Drikhen,1 347,6,260,,,,,,,,,285,,,,150,180,300,172,,
,,42,zadokk,1 335,11,470,85,125,,,102,90,,,150,,,,350,10,120,,63,120
,,43,Vantablack,1 272,7,260,410,280,,,76,102,,,,,,,,100,120,,,
,,43,Kolo,1 272,4,260,,,,,102,,,,440,470,,,,,,,,
,,45,Malakesh,1 270,11,260,,46,,,56,90,,,200,160,,,480,10,80,27,9,
,,46,Cogito3,1 266,13,260,125,170,,,90,76,,,260,190,,,90,40,190,196,150,15
,#N/A,47,Yookie,1 259,12,170,69,59,,,76,64,,,230,245,,,350,100,40,15,164,
,,48,Spartan1337,1 255,11,260,140,165,,,210,250,,,130,105,,,45,180,190,,,110
