Tier,# of tourn.,Tournament,,,Occurrences,How to count,Max Points,2024,,,,2025,,,,2026,,,
,,,,,,,,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
Main competition,1,World Championship,mixed,🐢🐢,1,As one tournament,2500,,,,WC 24,,,,WC 25,,,,WC '26
Prestigious quarterly leagues,3,International Championship,4p / 3p,🐢🐢,4,Each season separately,1000,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26
,,Intermezzo Championship,3p,🐢🐢,,,1000,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27
,,Royal League,2p,🐢🐢,,,1000,,,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10
Prominent annual tournaments and ladders,5,Snail Cup,mixed,🐢🐢,1,As one tournament,1000,,SC '23,,,,,,,,,,
,,Wimbledon,2p,🐢🐢,1,As one tournament,1000,,W '23,,,W '24,,,,W '25,,,
,,Australian Open,4p,🐢🐢,,,1000,,,AO '24,,,,AO '25,,,,AO '26,
,,Survivors Cup,3p,🐢🐢,,,1000,,,,,,,,,,,SC '26,
,,Mercurial Ladder,3p,🐢🐢,,All rounds counted as one-year-long tournament,1000,Rounds 10 to 19,,,,latest 10R,latest 10R,latest 10R,R 20 to 29,latest 10R,latest 10R,latest 10R,R 30 to 39
,,Sodium Ladder,4p,🐢🐢,,,1000,,,,,R1-3,R1-5,R1-7,R 1 to 9,latest 8R,latest 8R,latest 8R,R 10 to 17
Other rated tournaments,2,Eiffel Tower,mixed,🐢🐢,1,,600,,,,ET '24,,,,ET '25,,,,ET '26
,,Quick & Dirty,mixed,🐢,best 1,Only best series counted,600,"2p, 3p",4p,,,S1,,S2,,,,,
Year-closing gala,1,Leaderboard Trophy,mixed,🐢🐢,1,As direct leaderboard points per each game,,,,,,,,,,,,,LT '26
