Tournament,Date,Player1,Score1,Player2,Score2,Player3,Score3,Player4,Score4,Player_Count
French Open 2026 - group 7 game 1,2026-06-10,Giledon,252,humanmoves,189,Fifagi,178.0,szyszuniawiesz,146.0,4
French Open 2026 - group 35 game 1,2026-06-11,Sellux,384,Rhand,328,Moshmir,288.0,woogi,-5.0,4
French Open 2026 - group 117 game 1,2026-06-14,Sergeeeee,175,mikechike,173,Tomtomparking,118.0,discodancer,85.0,4
French Open 2026 - group 147 game 1,2026-06-14,Mammaklaskern,249,Lohmann,241,petrau77,228.0,buso1705,208.0,4
French Open 2026 - group 174 game 1,2026-06-14,oleKanin,185,DayWeed,185,Foxxx,184.0,Marchely,121.0,4
French Open 2026 - group 4 game 1,2026-06-14,Adamez,332,Otto_von_Bismarck,227,MadNut86,220.0,Gigot,163.0,4
French Open 2026 - group 13 game 1,2026-06-15,mezerrrrr,231,Azerbaperro,185,Purplegoo,140.0,Jume,127.0,4
French Open 2026 - group 194 game 1,2026-06-15,Vovka,218,tronnemann,137,Boniu_bon,130.0,Redders,97.0,4
French Open 2026 -  game 1,2026-06-16,Tasso,373,EugeneB,287,Gavatar82,263.0,Redda,201.0,4
French Open 2026 - group 107 game 1,2026-06-16,Dave777,249,Buiz,199,Conzi,175.0,Wombelbat,127.0,4
French Open 2026 - group 140 game 1,2026-06-16,vitek,277,colepiechotta,246,bambi4,214.0,babaganoosh,105.0,4
French Open 2026 - group 156 game 1,2026-06-16,Daemon3142,249,Desgenais,242,Patelavache,237.0,Rick80,223.0,4
French Open 2026 - group 100 game 1,2026-06-17,migoet,231,DonStino,210,Limubai,199.0,Ladden,171.0,4
French Open 2026 - group 12 game 1,2026-06-17,SvenSvift,309,QAS,271,Enas,245.0,RJonkers,-5.0,4
French Open 2026 - group 132 game 1,2026-06-17,Korsus,240,irule,221,jmcj,187.0,Smilzo,156.0,4
French Open 2026 - group 14 game 1,2026-06-17,Zegs,246,Shincham,181,Kharny,170.0,Dunketelin,114.0,4
French Open 2026 - group 151 game 1,2026-06-17,maxolino,226,Crowther,212,tnawrocki,121.0,mahlerian_shadow,66.0,4
French Open 2026 - group 195 game 1,2026-06-17,Ratsia,293,Partyshank,248,TarisI,246.0,Jmstoic,236.0,4
French Open 2026 - group 31 game 1,2026-06-17,flutter,258,Sirovec,199,Kugi,180.0,woodabooga,109.0,4
French Open 2026 - group 50 game 1,2026-06-17,Sektat,310,daimx,300,henrymerrivale,220.0,Krzolek,187.0,4
French Open 2026 - group 53 game 1,2026-06-17,Huettengaudi,312,vodka,270,condemor,253.0,Cristiancordeu,180.0,4
French Open 2026 - group 79 game 1,2026-06-17,Victory7,181,Herdeksunek,143,Cresspahl,139.0,Frank92,61.0,4
French Open 2026 - group 90 game 1,2026-06-17,Barnes,216,Olunia,129,KTMatthews,127.0,PatPunisher,119.0,4
French Open 2026 - group 92 game 1,2026-06-17,hyudun,332,Hetman,240,Mister_Pazel,209.0,jormapa,205.0,4
French Open 2026 - group 104 game 1,2026-06-18,poikai2,224,micropip,178,FunkcniPC,170.0,Mensha,113.0,4
French Open 2026 - group 112 game 1,2026-06-18,MBlueMan,317,Rob13,294,OodOok,289.0,sparkyal,226.0,4
French Open 2026 - group 128 game 1,2026-06-18,roverandom,242,Aaronwebber,242,HolyOutlaw,190.0,Pecheros,-5.0,4
French Open 2026 - group 165 game 1,2026-06-18,Mephist,257,Borman,221,Jocik,152.0,pjorge,119.0,4
French Open 2026 - group 183 game 1,2026-06-18,errliu,237,MeteorisVulcanus,220,BemuthBambai,213.0,Archangel,169.0,4
French Open 2026 - group 193 game 1,2026-06-18,Marabu8,269,Likas11,203,GangwonTeacher,183.0,Alebv,-5.0,4
French Open 2026 - group 45 game 1,2026-06-18,maumastoks,309,ksfga,288,tysat,211.0,AsKier,157.0,4
French Open 2026 - group 85 game 1,2026-06-18,ben0728,247,Boristina,237,ElDiabloAzul,213.0,Asperins,204.0,4
