,HALL OF FAME,,,,,,,,,,,,
Join our Discord channel: https://discord.gg/XXBN8EgX,,,,,,,,Old trophy hall of fame,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,Rolling ranking TOP 8,,,,,,,,Total,Medals
Season 1,wolvs,pv4,Kay,1,DANeo,,,Martin Pecheur,3,1,1,5,14
Season 2,wolvs/Grozz,-,Raffaello/Rutgerhauer,2,Grozz,,,Weidenbaum,2,2,1,5,6
Season 3,Grozz,Momomillion,pv4,3,zadokk,,,Brightfuture,1,1,1,3,4
Season 4,,,,4,mikechike,,,Binki,1,,2,3,9
,,,,5,pv4,,,Eepogi,1,1,,2,4
,,,,6,zoldaria,,,Lcfyx,1,1,,2,5
,,,,7,Momomillion,,,Angor,,1,1,2,3
,,,,8,Arne,,,Gandin,1,,,1,3
,,,,,,,,DANeo,1,,,1,3
,,,,,,,,Netopier,1,,,1,
,,,,,,,,pv4,,1,,1,5
,,,,,,,,Magesolo,,1,,1,2
,,,,,,,,St4nkk,,1,,1,2
,,,,,,,,Tordread,,1,,1,4
,,,,,,,,sqwndw,,,1,1,3
,,,,,,,,pajada,,,1,1,4
,,,,,,,,DiddleySquat,,,1,1,4
,,,,,,,,Andrethegiant,,,1,1,2
,,,,,,,,zadokk,,,1,1,2
