group,player,place,games,points,timeouts,result,tie-break
Emperor,vanishadow,1,7,10,0,gold medal,
Emperor,Weidenbaum,2,7,8,0,silver medal,
Emperor,Airren,2,7,8,0,silver medal,
Emperor,Martin_Pecheur,2,7,8,0,silver medal,
Emperor,pv4,5,7,6,0,,
Emperor,saru,6,7,6,0,-1,
Emperor,321letsjam,7,7,6,0,-1,
Emperor,totsilence,8,7,4,0,-2,
King,Angor,1,6,10,0,1,
King,GZ95,2,6,8,0,1,
King,Lcfyx,3,6,6,0,,
King,pajada,4,6,6,0,,
King,Dazzy,5,6,4,0,,"1-1, CR: 1.08"
King,FirstOfDao,6,6,4,0,-1,"1-1, CR: 1.06"
King,Praetorianer,7,6,4,0,-1,"1-1, CR: 0.90"
King,Netopier,8,0,0,0,-2,
Prince 1,DANeo,1,7,12,0,2,1-0
Prince 1,ben0728,2,7,12,0,1,
Prince 1,Eske,3,7,8,0,,
Prince 1,Brightfuture,4,7,8,0,,
Prince 1,Gutemetralla,5,7,6,0,,
Prince 1,mwi,6,7,6,0,-1,
Prince 1,speedstone,7,7,4,0,-1,
Prince 1,vaLfizzL,8,7,0,0,-2,
Prince 2,Sohoof,1,7,12,0,1,0-1
Prince 2,wolvs,2,7,12,0,1,
Prince 2,e5582768,3,7,10,0,,
Prince 2,Eepogi,4,7,10,0,,
Prince 2,DJLAODIE,5,7,6,0,,
Prince 2,Spartan1337,6,7,4,0,-1,
Prince 2,zadokk,7,7,1,1,-1,1-0
Prince 2,Mark0n,8,7,1,0,-2,0-1
Duke 1,Flackk,1,7,12,0,2,2-0
Duke 1,Oprah,2,7,10,0,1,
Duke 1,Fourierrr,3,7,8,0,,
Duke 1,Masox,4,7,8,0,,
Duke 1,Gandin,5,7,6,0,,
Duke 1,Allmrak,6,7,6,0,-1,
Duke 1,CaesarSalah,7,7,4,0,-1,
Duke 1,Kay,8,7,2,0,-2,
Duke 2,KarlThomas,1,7,12,0,1,0-2
Duke 2,megumi,2,7,10,0,1,
Duke 2,RestlessMe,3,7,8,0,,
Duke 2,Arne,4,7,8,0,,
Duke 2,SnailZane,5,7,8,0,,
Duke 2,BlixLT,6,7,6,0,-1,
Duke 2,Magesolo,7,7,2,0,-1,
Duke 2,DiddleySquat,8,7,2,0,-2,
Duke 3,Grozz,1,6,10,0,1,1-1
Duke 3,Jaracz,2,6,10,0,1,
Duke 3,Sektat,3,6,8,0,,
Duke 3,Tordread,4,6,8,0,,
Duke 3,Gilgamesh2,5,6,4,0,,
Duke 3,Sellux,6,6,2,1,-1,
Duke 3,Musan,7,6,0,0,-1,
Duke 3,Fizi,8,0,0,0,-2,
Marquess 1,roverandom,1,7,14,0,2,
Marquess 1,maiquelPS,2,7,10,0,1,
Marquess 1,gothark,3,7,8,0,,
Marquess 1,Firedart,4,7,6,0,,
Marquess 1,funnytortoise,5,7,6,0,,
Marquess 1,LordMichael,6,7,6,0,-1,
Marquess 1,Doobie,7,7,4,0,-1,
Marquess 1,Klakla92th,8,7,2,0,-2,
Marquess 2,Ristey,1,7,10,0,1,
Marquess 2,jantteri,2,7,10,0,1,
Marquess 2,jezza101,3,7,9,0,,
Marquess 2,Arcee,3,7,9,0,,
Marquess 2,ElChupacabra,5,7,8,0,,
Marquess 2,fugg,6,7,6,0,-1,
Marquess 2,gamblerch,7,7,4,0,-1,
Marquess 2,Dayvs,8,7,0,0,-2,
Marquess 3,WhateverParsley,1,7,10,0,1,
Marquess 3,FreddyCrugerKiller,2,7,10,0,1,
Marquess 3,Garri,3,7,8,0,,
Marquess 3,Sunmaster14_LV,3,7,8,0,,
Marquess 3,Rob_Stedman,3,7,8,0,,
Marquess 3,Jorrig,6,7,6,0,-1,
Marquess 3,Thisisnotasmile,7,7,6,0,-1,
Marquess 3,FFAZ,8,7,0,2,-2,
Marquess 4,Lech,1,7,12,0,1,
Marquess 4,Raulone,2,7,10,0,1,
Marquess 4,takusto_II,3,7,8,0,,
Marquess 4,Jonny125,4,7,6,0,,"1-1, CR: 1.13"
Marquess 4,Garlett,5,7,6,0,,"1-1, CR: 0.96"
Marquess 4,flutter,6,7,6,0,-1,"1-1, CR: 0.95"
Marquess 4,kenchan,7,7,4,0,-1,
Marquess 4,jingjing123,8,7,4,1,-2,
Marquess 5,daimx,1,7,10,0,1,
Marquess 5,Kimmo,2,7,10,0,1,
Marquess 5,LittleBob,3,7,8,0,,
Marquess 5,MindKillazz,4,7,8,0,,
Marquess 5,ElKhan,5,7,6,0,,1-0
Marquess 5,Miklos,6,7,6,0,-1,0-1
Marquess 5,MruczekW,7,7,6,0,-1,dnp
Marquess 5,Terence,8,7,2,1,-2,
Count 1,BoatyMcBoatface,1,7,12,0,1,dnp
Count 1,MidnightFox,2,7,10,0,1,
Count 1,Boyo,3,7,8,0,,
Count 1,CloneFish,4,7,6,0,,
Count 1,Kaczas,4,7,6,1,,
Count 1,Haxxorn,4,7,6,0,,
Count 1,Charcutero,7,7,5,0,-1,
Count 1,DavidSegoviano,8,7,3,0,-2,
Count 2,CrystalPete420,1,7,12,0,1,dnp
Count 2,treitze,2,7,12,0,1,
Count 2,Adamez,3,7,8,0,,
Count 2,Pieroz88,4,7,8,0,,
Count 2,Donni,5,7,6,1,,
Count 2,MurphyAKL,6,7,6,0,-1,
Count 2,Thronx,7,7,4,0,-1,
Count 2,Cleveman,8,7,0,0,-2,
Count 3,scipio238,1,7,10,0,1,
Count 3,darwinian,2,7,10,0,1,
Count 3,Etherealz,3,7,8,0,,
Count 3,Shagrat,4,7,8,0,,
Count 3,Jappa,5,7,6,0,,
Count 3,JimmyLin,6,7,6,0,-1,
Count 3,kaeptnblaubaer,7,7,4,0,-1,
Count 3,Vi15So17,8,7,4,0,-2,
Count 4,wittr,1,7,10,0,1,
Count 4,Mike1313,1,7,10,0,1,
Count 4,jRune,1,7,10,0,,
Count 4,zbert,4,7,8,0,,
Count 4,henrymerrivale,5,7,6,0,,
Count 4,theussner79,6,7,6,0,-1,
Count 4,ChampDeGlace,7,7,5,1,-1,
Count 4,Bookhouseboy,8,7,1,0,-2,
Count 5,elo8000,1,7,12,0,1,timeouted
Count 5,Xxyu,2,7,12,0,1,
Count 5,Dantes,3,7,10,0,,
Count 5,ed_vins,4,7,8,0,,
Count 5,raist,5,7,6,0,,
Count 5,Rasputin,6,7,6,0,-1,
Count 5,Vangelisb,7,7,2,0,-1,
Count 5,Ddafaith,8,7,0,0,-2,
Count 6,virvett,1,7,12,0,1,1-1
Count 6,Rhizom,2,7,10,0,1,
Count 6,isman,2,7,10,0,1,
Count 6,Wolar,2,7,10,0,1,
Count 6,HeirOfValyria,5,7,6,0,,
Count 6,Ramonster,6,7,4,0,-1,
Count 6,Quokka,7,7,2,0,-1,
Count 6,Csannerud,8,7,2,0,-2,
Count 7,BitterBlossom,1,7,10,0,1,
Count 7,Imiter,2,7,8,0,1,
Count 7,vendogs,3,7,8,0,,
Count 7,fathope,4,7,6,0,,3-1
Count 7,Nightvayne,5,7,6,0,,"2-2, 2-0"
Count 7,MBlueMan,6,7,6,0,-1,"2-2, 1-1"
Count 7,LuckyAnesa,7,7,6,0,-1,"2-2, 0-2"
Count 7,Attrill20,8,7,6,0,-2,1-3
Count 8,Vorbrock,1,7,11,0,2,2-0
Count 8,McNulty,2,7,10,0,1,
Count 8,MartinW,3,7,8,0,,
Count 8,Melon6688,4,7,8,0,,
Count 8,maciek,5,7,6,0,,
Count 8,Kuter,6,7,6,0,-1,
Count 8,Tomtomparking,7,7,4,0,-1,
Count 8,ChipsAhoya,8,7,3,0,-2,
Viscount 1,kuzmich,1,6,10,0,1,
Viscount 1,Notbot66,1,6,10,0,1,
Viscount 1,MrGekz,1,6,10,0,1,
Viscount 1,Gabriele,4,6,6,0,,
Viscount 1,baggioka,5,6,2,0,-1,
Viscount 1,jmw,5,6,2,0,-1,
Viscount 1,IpaStian,5,6,2,0,-1,
Viscount 1,Kermit19,8,0,0,0,-2,
