Tournament,Date,Player1,Score1,Player2,Score2,Player3,Score3,Player4,Score4,Player_Count
Sodium Ladder Season 16 - Sodium Ladder Sodium Tier game 1,2026-08-24,Sylvain,161.0,Grozz,149.0,Arne,149.0,Dazzy,144.0,4
Sodium Ladder Season 16 - 1. 45 Lander90 No finished games 0 0,2026-08-24,1.45Lander90No finished games,0.0,"0        
                                            0        
                                            0        
                                            0",0.0,,,,,2
Sodium Ladder Season 16 - 2. 46 Beebs No finished games 0 0,2026-08-24,2.46BeebsNo finished games,0.0,"0        
                                            0        
                                            0        
                                            0",0.0,,,,,2
Sodium Ladder Season 16 - 3. 48 ERock37 No finished games 0 0,2026-08-24,3.48ERock37No finished games,0.0,"0        
                                            0        
                                            0        
                                            0",0.0,,,,,2
Sodium Ladder Season 16 - 4. 52 Martin_Pecheur No finished games 0 0,2026-08-24,4.52Martin_PecheurNo finished games,0.0,"0        
                                            0        
                                            0        
                                            0",0.0,,,,,2
Sodium Ladder Season 16 - Sodium Ladder 61-Promethium game 1,2026-08-24,BoatyMcBoatface,247.0,MrBiz,196.0,yaop,179.0,BlixLT,170.0,4
Sodium Ladder Season 16 - Sodium Ladder 59-Praseodymium game 1,2026-08-24,mwi,191.0,Dantes,185.0,Pitor,174.0,jantteri,165.0,4
Sodium Ladder Season 16 - Sodium Ladder 58-Cerium game 1,2026-08-24,Majondor,246.0,zoldaria,228.0,Boromir7,214.0,,,3
Sodium Ladder Season 16 - Sodium Ladder 55-Cesium game 1,2026-08-24,Brightfuture,285.0,Yookie,282.0,DrSniken,216.0,barboucha,214.0,4
Sodium Ladder Season 16 - Sodium Ladder 54-Xenon 1 game 1,2026-08-24,Raffaello,223.0,drodriguez,178.0,wittr,163.0,DarKStyle,132.0,4
Sodium Ladder Season 16 - Sodium Ladder 54-Xenon 2 game 1,2026-08-24,Weidenbaum,260.0,TorbenOfHerpes,248.0,RestlessMe,247.0,FirstOfDao,183.0,4
Sodium Ladder Season 16 - Sodium Ladder 53-Iodine game 1,2026-08-24,Papaver,309.0,Barnes,265.0,tupper,211.0,,,3
Sodium Ladder Season 16 - 1. 45 DrRerNate No finished games 0 0,2026-08-24,1.45DrRerNateNo finished games,0.0,"0        
                                            0        
                                            0        
                                            0",0.0,,,,,2
Sodium Ladder Season 16 - 2. 45 Cogito3 No finished games 0 0,2026-08-24,2.45Cogito3No finished games,0.0,"0        
                                            0        
                                            0        
                                            0",0.0,,,,,2
Sodium Ladder Season 16 - 3. 43 Magnotta85 No finished games 0 0,2026-08-24,3.43Magnotta85No finished games,0.0,"0        
                                            0        
                                            0        
                                            0",0.0,,,,,2
Sodium Ladder Season 16 - 4. 51 Gyphon No finished games 0 0,2026-08-24,4.51GyphonNo finished games,0.0,"0        
                                            0        
                                            0        
                                            0",0.0,,,,,2
Sodium Ladder Season 16 - Sodium Ladder 51-Antimony game 1,2026-08-24,daimx,275.0,Huettengaudi,268.0,Momomillion,259.0,Kay,238.0,4
Sodium Ladder Season 16 - 1. 43 FenPlays No finished games 0 0,2026-08-24,1.43FenPlaysNo finished games,0.0,"0        
                                            0        
                                            0        
                                            0",0.0,,,,,2
Sodium Ladder Season 16 - 2. 69 Doobie No finished games 0 0,2026-08-24,2.69DoobieNo finished games,0.0,"0        
                                            0        
                                            0        
                                            0",0.0,,,,,2
Sodium Ladder Season 16 - 3. 40 FrenkDeTank No finished games 0 0,2026-08-24,3.40FrenkDeTankNo finished games,0.0,"0        
                                            0        
                                            0        
                                            0",0.0,,,,,2
Sodium Ladder Season 16 - 4. 46 Mkucharz No finished games 0 0,2026-08-24,4.46MkucharzNo finished games,0.0,"0        
                                            0        
                                            0        
                                            0",0.0,,,,,2
Sodium Ladder Season 16 - Sodium Ladder 50-Tin 2 game 1,2026-08-24,pigfans,351.0,condemor,212.0,Unterjochen,209.0,LeonidasI,186.0,4
Sodium Ladder Season 16 - Sodium Ladder 49-Indium game 1,2026-08-24,Sakic19,275.0,Fourierrr,264.0,jezza101,252.0,Trond79,81.0,4
Sodium Ladder Season 16 - Sodium Ladder 48-Cadmium 1 game 1,2026-08-24,eggmancs,187.0,MindKillazz,112.0,Gagic,101.0,Tasku,85.0,4
Sodium Ladder Season 16 - Sodium Ladder 48-Cadmium 2 game 1,2026-08-24,MartinW,223.0,GerisNezus,222.0,NFGM,200.0,brunoerwin,198.0,4
Sodium Ladder Season 16 - Sodium Ladder 47-Silver 1 game 1,2026-08-24,PlanarFreak,314.0,Pieroz88,228.0,Dragonite,227.0,ChampDeGlace,210.0,4
Sodium Ladder Season 16 - Sodium Ladder 47-Silver 2 game 1,2026-08-24,zadokk,292.0,Kimmo,190.0,arDKee,185.0,LeoM,72.0,4
Sodium Ladder Season 16 - Sodium Ladder 46-Palladium 1 game 1,2026-08-24,Padishar,225.0,Obinger_Alphons,207.0,jhutc,173.0,,,3
Sodium Ladder Season 16 - Sodium Ladder 46-Palladium 2 game 1,2026-08-24,virvett,253.0,Jiffy,222.0,Cooper,220.0,DavidSegoviano,188.0,4
Sodium Ladder Season 16 - Sodium Ladder 45-Rhodium 1 game 1,2026-08-24,Praetorianer,273.0,belowfox,240.0,Sellux,196.0,Adamez,169.0,4
Sodium Ladder Season 16 - Sodium Ladder 45-Rhodium 2 game 1,2026-08-24,Turdle,231.0,GrandHedgehog,219.0,SuperHans,216.0,DieKrake89,200.0,4
Sodium Ladder Season 16 - Sodium Ladder 44-Ruthenium 1 game 1,2026-08-24,Bull3,245.0,maunzzz,242.0,Garghiii,219.0,Sengir80,203.0,4
