Tournament,Date,Player1,Score1,Player2,Score2,Player3,Score3,Player4,Score4,Player_Count
TCL Round 139 - Rung 14 game 1,2026-07-19,Raffaello,256,Dantes,247,MurphyAKL,221.0,,,3
TCL Round 139 - Rung 20 game 1,2026-07-20,Colorado,208,barboucha,204,Pelej,157.0,,,3
TCL Round 139 - Rung 4 game 1,2026-07-20,Eepogi,190,Tamirys,161,pajada,101.0,,,3
TCL Round 139 - Rung 10 game 1,2026-07-21,Arne,230,Sektat,172,ElKhan,127.0,,,3
TCL Round 139 - Rung 15 game 1,2026-07-21,Lander90,229,HomerJr,182,Hardco,132.0,,,3
TCL Round 139 - Rung 21 game 1,2026-07-23,MrBiz,307,AdiQue,197,Magesolo,156.0,,,3
TCL Round 139 - Rung 22 game 1,2026-07-23,ArthursDad,175,Rajeev,171,virvett,72.0,,,3
TCL Round 139 - Rung 16 game 1,2026-07-25,Ricicle,235,jhutc,221,Zathio,202.0,,,3
TCL Round 139 - Rung 17 game 1,2026-07-25,GerisNezus,264,Kay,260,maumastoks,228.0,,,3
TCL Round 139 - Rung 18 game 1,2026-07-25,lhrljr,254,ElDiabloAzul,160,maunzzz,103.0,,,3
TCL Round 139 - Rung 5 game 1,2026-07-25,Kimmo,276,BlixLT,273,takusto_II,259.0,,,3
TCL Round 139 - Rung 2 game 1,2026-07-26,Grozz,243,Weidenbaum,233,Martin_Pecheur,207.0,,,3
TCL Round 139 - Rung 6 game 1,2026-07-26,Fourierrr,239,cpp,184,PlanarFreak,160.0,,,3
TCL Round 139 - Rung 11 game 1,2026-07-27,Cogito3,224,PhiTrigger,219,Daemon3142,129.0,,,3
TCL Round 139 - Rung 9 game 1,2026-07-28,ChipsAhoya,249,HeirOfValyria,194,mlhibou,187.0,,,3
TCL Round 139 - Rung 7 game 1,2026-07-29,mwi,158,Gavatron,145,delonecarter,126.0,,,3
TCL Round 139 - Rung 13 game 1,2026-07-30,Firedart,301,gamblerch,238,Bergen,216.0,,,3
TCL Round 139 - Rung 19 game 1,2026-07-30,Thisisnotasmile,215,Budde,178,Garghiii,120.0,,,3
TCL Round 139 - Rung 1 game 1,2026-08-01,DireNTropy,162,AaronGreen,145,wolvs,144.0,,,3
TCL Round 139 - Rung 3 game 1,2026-08-02,Palino,237,totsilence,201,Majondor,99.0,,,3
TCL Round 139 - Rung 12 game 1,2026-08-04,raist,196,Ristey,189,TrilceAC,137.0,,,3
TCL Round 139 - Rung 8 game 1,2026-08-07,kenchan,159,DrRerNate,99,ktroop,-3.0,,,3
