Tournament,Date,Player1,Score1,Player2,Score2,Player3,Score3,Player4,Score4,Player_Count
Worlds 2026 Stage 5 - Upper 4 game 11,2026-06-14,Wawrzyniec,274,kyshantry,230,DANeo,189.0,Dantes,-4.0,4
Worlds 2026 Stage 5 - Lower 10 game 11,2026-06-15,Grozz,232,holy834,230,poikai2,203.0,pajada,194.0,4
Worlds 2026 Stage 5 - Lower 1 game 12,2026-06-17,J0hnny_Utah7,189,Kesterer,156,mikechike,154.0,GerisNezus,98.0,4
Worlds 2026 Stage 5 - Lower 10 game 12,2026-06-17,Grozz,219,pajada,216,poikai2,207.0,holy834,188.0,4
Worlds 2026 Stage 5 - Lower 11 game 12,2026-06-17,jezza101,265,Andiii,218,zoiedberg,178.0,Raffaello,-4.0,4
Worlds 2026 Stage 5 - Upper 4 game 12,2026-06-17,Dantes,200,DANeo,189,Wawrzyniec,148.0,kyshantry,128.0,4
Worlds 2026 Stage 5 - Lower 1 game 11,2026-06-18,J0hnny_Utah7,233,GerisNezus,214,Kesterer,193.0,mikechike,137.0,4
Worlds 2026 Stage 5 - Lower 15 game 12,2026-06-19,jantteri,246,Jaracz,226,Jorrig,190.0,haimke,164.0,4
Worlds 2026 Stage 5 - Lower 7 game 11,2026-06-19,yaop,323,kevinsbane,306,Technicolourism,276.0,Vovka,272.0,4
Worlds 2026 Stage 5 - Lower 7 game 12,2026-06-19,Vovka,332,kevinsbane,288,yaop,272.0,Technicolourism,268.0,4
Worlds 2026 Stage 5 - Upper 1 game 11,2026-06-19,Lander90,220,maximpodg,212,Martin_Pecheur,202.0,Majondor,179.0,4
Worlds 2026 Stage 5 - Lower 24 game 11,2026-06-20,drodriguez,210,Raskonin,201,IdkIdcIdgaf,193.0,Dread_84,157.0,4
Worlds 2026 Stage 5 - Lower 24 game 12,2026-06-20,IdkIdcIdgaf,212,Dread_84,192,drodriguez,181.0,Raskonin,-5.0,4
Worlds 2026 Stage 5 - Lower 12 game 11,2026-06-21,Pitor,151,DrRerNate,132,MiloslavIII,123.0,Arne,121.0,4
Worlds 2026 Stage 5 - Lower 15 game 11,2026-06-21,Jorrig,249,Jaracz,248,jantteri,240.0,haimke,-5.0,4
Worlds 2026 Stage 5 - Upper 1 game 12,2026-06-21,maximpodg,242,Majondor,224,Martin_Pecheur,172.0,Lander90,128.0,4
Worlds 2026 Stage 5 - Lower 11 game 11,2026-06-22,Raffaello,205,Andiii,198,jezza101,184.0,zoiedberg,168.0,4
Worlds 2026 Stage 5 - Lower 22 game 12,2026-06-22,Weidenbaum,252,Malakesh,242,Brightfuture,214.0,Kharny,180.0,4
Worlds 2026 Stage 5 - Lower 5 game 11,2026-06-22,Silvester,171,Turdle,168,saru,147.0,tupper,141.0,4
Worlds 2026 Stage 5 - Lower 8 game 12,2026-06-22,takusto_II,266,Momomillion,243,Icallhimtest,234.0,CaesarSalah,226.0,4
Worlds 2026 Stage 5 - Lower 12 game 12,2026-06-23,Pitor,227,Arne,204,MiloslavIII,187.0,DrRerNate,176.0,4
Worlds 2026 Stage 5 - Lower 6 game 11,2026-06-23,FCKAFD,218,darwinian,198,mrcy,147.0,Praetorianer,-5.0,4
Worlds 2026 Stage 5 - Lower 6 game 12,2026-06-23,FCKAFD,229,mrcy,184,darwinian,144.0,Praetorianer,129.0,4
Worlds 2026 Stage 5 - Upper 2 game 11,2026-06-23,SandHippo,275,zoldaria,206,zadokk,198.0,Lech,134.0,4
Worlds 2026 Stage 5 - Upper 2 game 12,2026-06-23,Lech,227,SandHippo,201,zoldaria,196.0,zadokk,185.0,4
Worlds 2026 Stage 5 - Lower 1 game 8,2026-06-24,Kesterer,195,mikechike,192,GerisNezus,166.0,,,3
Worlds 2026 Stage 5 - Lower 1 game 9,2026-06-24,J0hnny_Utah7,231,Kesterer,226,mikechike,190.0,,,3
Worlds 2026 Stage 5 - Lower 10 game 10,2026-06-24,Grozz,157,pajada,130,holy834,129.0,,,3
Worlds 2026 Stage 5 - Lower 11 game 7,2026-06-24,zoiedberg,191,Andiii,135,Raffaello,-3.0,,,3
Worlds 2026 Stage 5 - Lower 4 game 11,2026-06-24,Masox,196,Hisbossness,167,pv4,161.0,Straszyk,126.0,4
Worlds 2026 Stage 5 - Lower 10 game 8,2026-06-25,Grozz,188,pajada,156,poikai2,150.0,,,3
Worlds 2026 Stage 5 - Lower 4 game 7,2026-06-25,Masox,182,pv4,167,Hisbossness,125.0,,,3
Worlds 2026 Stage 5 - Lower 5 game 12,2026-06-25,Turdle,277,Silvester,272,tupper,245.0,saru,220.0,4
Worlds 2026 Stage 5 - Lower 7 game 7,2026-06-25,Technicolourism,291,Vovka,246,kevinsbane,83.0,,,3
Worlds 2026 Stage 5 - Lower 8 game 11,2026-06-25,Momomillion,287,CaesarSalah,286,takusto_II,219.0,Icallhimtest,206.0,4
Worlds 2026 Stage 5 - Lower 12 game 10,2026-06-26,Arne,318,MiloslavIII,242,Pitor,218.0,,,3
Worlds 2026 Stage 5 - Lower 15 game 8,2026-06-26,jantteri,264,Jaracz,207,haimke,119.0,,,3
Worlds 2026 Stage 5 - Lower 2 game 11,2026-06-26,tianren4561367,228,Bad_Horse,216,bryanckh,205.0,Tordread,-4.0,4
Worlds 2026 Stage 5 - Lower 22 game 11,2026-06-26,Weidenbaum,216,Kharny,213,Malakesh,190.0,Brightfuture,178.0,4
Worlds 2026 Stage 5 - Lower 24 game 9,2026-06-26,IdkIdcIdgaf,256,Raskonin,238,Dread_84,225.0,,,3
Worlds 2026 Stage 5 - Lower 4 game 12,2026-06-26,pv4,222,Straszyk,175,Hisbossness,171.0,Masox,153.0,4
Worlds 2026 Stage 5 - Lower 7 game 8,2026-06-26,Technicolourism,219,yaop,187,kevinsbane,163.0,,,3
Worlds 2026 Stage 5 - Upper 4 game 7,2026-06-26,DANeo,283,Dantes,237,kyshantry,178.0,,,3
Worlds 2026 Stage 5 - Lower 1 game 7,2026-06-27,GerisNezus,206,Kesterer,199,J0hnny_Utah7,149.0,,,3
Worlds 2026 Stage 5 - Lower 16 game 12,2026-06-27,lhrljr,205,arDKee,197,Flackk,176.0,maunzzz,154.0,4
Worlds 2026 Stage 5 - Lower 18 game 8,2026-06-27,mwi,160,Gutemetralla,156,HCsquared,109.0,,,3
Worlds 2026 Stage 5 - Lower 19 game 12,2026-06-27,Cogito3,303,Gavatron,250,WhateverParsley,228.0,LJSHUEN,208.0,4
Worlds 2026 Stage 5 - Lower 3 game 12,2026-06-27,DarKStyle,157,Eske,154,FirstOfDao,150.0,DayWalker1337,-5.0,4
Worlds 2026 Stage 5 - Lower 6 game 8,2026-06-27,FCKAFD,246,darwinian,226,mrcy,220.0,,,3
Worlds 2026 Stage 5 - Upper 2 game 10,2026-06-27,zoldaria,213,SandHippo,174,Lech,150.0,,,3
Worlds 2026 Stage 5 - Upper 4 game 8,2026-06-27,Dantes,231,DANeo,217,Wawrzyniec,135.0,,,3
Worlds 2026 Stage 5 - Lower 10 game 9,2026-06-28,Grozz,194,poikai2,148,holy834,147.0,,,3
Worlds 2026 Stage 5 - Lower 16 game 11,2026-06-28,lhrljr,243,Flackk,202,arDKee,195.0,maunzzz,164.0,4
Worlds 2026 Stage 5 - Lower 17 game 11,2026-06-28,Kolo,195,wolvs,182,Fjantarik,115.0,321letsjam,96.0,4
Worlds 2026 Stage 5 - Lower 19 game 11,2026-06-28,Cogito3,274,LJSHUEN,255,Gavatron,214.0,WhateverParsley,167.0,4
Worlds 2026 Stage 5 - Lower 2 game 9,2026-06-28,tianren4561367,169,Bad_Horse,167,Tordread,-5.0,,,3
Worlds 2026 Stage 5 - Lower 21 game 11,2026-06-28,Spartan1337,305,Dots,284,discodancer,243.0,MrBiz,220.0,4
Worlds 2026 Stage 5 - Lower 22 game 8,2026-06-28,Malakesh,234,Weidenbaum,215,Kharny,198.0,,,3
Worlds 2026 Stage 5 - Lower 23 game 10,2026-06-28,jhutc,280,AaronGreen,260,Vantablack,-5.0,,,3
Worlds 2026 Stage 5 - Lower 8 game 8,2026-06-28,Icallhimtest,242,takusto_II,219,CaesarSalah,209.0,,,3
Worlds 2026 Stage 5 - Upper 4 game 10,2026-06-28,Wawrzyniec,189,kyshantry,161,DANeo,132.0,,,3
Worlds 2026 Stage 5 - Lower 10 game 7,2026-06-29,holy834,158,poikai2,134,pajada,89.0,,,3
Worlds 2026 Stage 5 - Lower 11 game 8,2026-06-29,Raffaello,313,jezza101,296,zoiedberg,234.0,,,3
Worlds 2026 Stage 5 - Lower 15 game 9,2026-06-29,Jaracz,186,Jorrig,160,jantteri,150.0,,,3
Worlds 2026 Stage 5 - Lower 16 game 10,2026-06-29,lhrljr,237,Flackk,236,maunzzz,216.0,,,3
Worlds 2026 Stage 5 - Lower 23 game 12,2026-06-29,Beebs,208,AaronGreen,197,jhutc,156.0,Vantablack,-5.0,4
Worlds 2026 Stage 5 - Lower 6 game 9,2026-06-29,Praetorianer,255,darwinian,206,mrcy,156.0,,,3
Worlds 2026 Stage 5 - Upper 4 game 9,2026-06-29,kyshantry,190,Wawrzyniec,175,Dantes,147.0,,,3
Worlds 2026 Stage 5 - Lower 1 game 10,2026-06-30,GerisNezus,139,mikechike,124,J0hnny_Utah7,122.0,,,3
Worlds 2026 Stage 5 - Lower 15 game 10,2026-06-30,jantteri,269,Jorrig,196,haimke,170.0,,,3
Worlds 2026 Stage 5 - Lower 2 game 8,2026-06-30,tianren4561367,203,bryanckh,150,Tordread,-5.0,,,3
Worlds 2026 Stage 5 - Lower 23 game 9,2026-06-30,AaronGreen,186,Beebs,164,Vantablack,-5.0,,,3
Worlds 2026 Stage 5 - Lower 13 game 11,2026-07-01,dannyboy14,291,Budde,282,DrSniken,243.0,Sektat,242.0,4
Worlds 2026 Stage 5 - Lower 14 game 11,2026-07-01,Nickeberg,242,Drikhen,188,Gandin,157.0,bluecube,121.0,4
Worlds 2026 Stage 5 - Lower 14 game 7,2026-07-01,Gandin,152,Nickeberg,140,bluecube,124.0,,,3
Worlds 2026 Stage 5 - Lower 15 game 7,2026-07-01,Jorrig,238,Jaracz,220,haimke,160.0,,,3
Worlds 2026 Stage 5 - Lower 2 game 10,2026-07-01,Bad_Horse,165,bryanckh,147,tianren4561367,-3.0,,,3
Worlds 2026 Stage 5 - Lower 21 game 12,2026-07-01,Spartan1337,309,Dots,250,discodancer,241.0,MrBiz,232.0,4
Worlds 2026 Stage 5 - Lower 21 game 9,2026-07-01,Dots,251,MrBiz,180,discodancer,157.0,,,3
Worlds 2026 Stage 5 - Lower 22 game 7,2026-07-01,Malakesh,234,Brightfuture,199,Kharny,189.0,,,3
Worlds 2026 Stage 5 - Lower 3 game 11,2026-07-01,FirstOfDao,289,Eske,268,DarKStyle,258.0,DayWalker1337,-4.0,4
Worlds 2026 Stage 5 - Lower 6 game 7,2026-07-01,FCKAFD,193,Praetorianer,136,darwinian,122.0,,,3
Worlds 2026 Stage 5 - Lower 7 game 9,2026-07-01,Technicolourism,203,Vovka,172,yaop,-5.0,,,3
Worlds 2026 Stage 5 - Upper 1 game 8,2026-07-01,Lander90,204,Majondor,201,Martin_Pecheur,169.0,,,3
Worlds 2026 Stage 5 - Upper 2 game 7,2026-07-01,zoldaria,181,Lech,133,zadokk,89.0,,,3
Worlds 2026 Stage 5 - Lower 17 game 12,2026-07-02,wolvs,213,Fjantarik,209,Kolo,205.0,321letsjam,186.0,4
Worlds 2026 Stage 5 - Lower 18 game 11,2026-07-02,HCsquared,191,Gutemetralla,156,mwi,139.0,DyziK,127.0,4
Worlds 2026 Stage 5 - Lower 23 game 11,2026-07-02,AaronGreen,208,jhutc,196,Beebs,176.0,Vantablack,-5.0,4
Worlds 2026 Stage 5 - Lower 5 game 7,2026-07-02,Turdle,295,tupper,276,Silvester,234.0,,,3
Worlds 2026 Stage 5 - Lower 7 game 10,2026-07-02,Vovka,274,kevinsbane,177,yaop,-5.0,,,3
Worlds 2026 Stage 5 - Lower 9 game 11,2026-07-02,Shagrat,175,BoatyMcBoatface,149,Sylvain,-3.0,JSauve,-5.0,4
Worlds 2026 Stage 5 - Upper 2 game 8,2026-07-02,SandHippo,235,zoldaria,181,zadokk,172.0,,,3
Worlds 2026 Stage 5 - Lower 11 game 9,2026-07-03,zoiedberg,295,Andiii,230,jezza101,180.0,,,3
Worlds 2026 Stage 5 - Lower 12 game 8,2026-07-03,Pitor,209,MiloslavIII,186,DrRerNate,185.0,,,3
Worlds 2026 Stage 5 - Lower 14 game 12,2026-07-03,bluecube,272,Nickeberg,256,Gandin,233.0,Drikhen,232.0,4
Worlds 2026 Stage 5 - Lower 18 game 12,2026-07-03,HCsquared,226,Gutemetralla,208,mwi,171.0,DyziK,153.0,4
Worlds 2026 Stage 5 - Lower 21 game 10,2026-07-03,Spartan1337,199,MrBiz,199,discodancer,193.0,,,3
Worlds 2026 Stage 5 - Lower 8 game 9,2026-07-03,Icallhimtest,205,Momomillion,180,takusto_II,160.0,,,3
Worlds 2026 Stage 5 - Upper 1 game 10,2026-07-03,Martin_Pecheur,249,maximpodg,200,Lander90,144.0,,,3
Worlds 2026 Stage 5 - Upper 1 game 7,2026-07-03,Martin_Pecheur,212,Majondor,178,maximpodg,175.0,,,3
Worlds 2026 Stage 5 - Lower 1 game 4,2026-07-04,GerisNezus,230,Kesterer,227,,,,,2
Worlds 2026 Stage 5 - Lower 1 game 6,2026-07-04,mikechike,132,Kesterer,125,,,,,2
Worlds 2026 Stage 5 - Lower 12 game 9,2026-07-04,Arne,239,DrRerNate,193,MiloslavIII,168.0,,,3
Worlds 2026 Stage 5 - Lower 13 game 12,2026-07-04,DrSniken,163,Budde,133,Sektat,117.0,dannyboy14,-4.0,4
Worlds 2026 Stage 5 - Lower 17 game 10,2026-07-04,wolvs,141,321letsjam,101,Fjantarik,-3.0,,,3
Worlds 2026 Stage 5 - Lower 2 game 12,2026-07-04,bryanckh,209,Tordread,183,Bad_Horse,155.0,tianren4561367,152.0,4
