Tournament,Date,Player1,Score1,Player2,Score2,Player3,Score3,Player4,Score4,Player_Count
Mercurial Season 36 - 15-Phosphorus 1 game 1,2026-07-23,ElKhan,149,Evron,118,schwam,103.0,,,3
Mercurial Season 36 - 10-Neon 4 game 1,2026-07-24,JoopHuizinga,144,Bathman,131,Kartek,115.0,,,3
Mercurial Season 36 - 2-Helium 1 game 1,2026-07-25,ecec,278,Saph4ir,194,stanze,151.0,,,3
Mercurial Season 36 - 6-Carbon 3 game 1,2026-07-25,micropip,218,Froggy42,201,peppe76,-3.0,,,3
Mercurial Season 36 - 11-Sodium 5 game 1,2026-07-26,SteelKitten,316,Dubz,257,Tomtomparking,206.0,,,3
Mercurial Season 36 - 13-Aluminium 3 game 1,2026-07-26,Rajeev,242,raist,121,Aaronwebber,112.0,,,3
Mercurial Season 36 - 16-Sulfur 4 game 1,2026-07-26,MurphyAKL,199,Trond79,188,kevinsbane,164.0,,,3
Mercurial Season 36 - 17-Chlorine 3 game 1,2026-07-26,maunzzz,285,condemor,219,amaj,200.0,,,3
Mercurial Season 36 - 19-Potassium 2 game 1,2026-07-26,Mike1313,154,tupper,149,zoldaria,145.0,,,3
Mercurial Season 36 - 20-Calcium 1 game 1,2026-07-26,Huettengaudi,238,Zegs,209,GerisNezus,204.0,,,3
Mercurial Season 36 - 20-Calcium 2 game 1,2026-07-26,MrBiz,226,Fourierrr,199,Barnes,194.0,,,3
Mercurial Season 36 - 12-Magnesium 1 game 1,2026-07-27,larshb,255,Sergeeeee,209,chefung,119.0,,,3
Mercurial Season 36 - 15-Phosphorus 2 game 1,2026-07-27,KarlThomas,237,ElTanque35,206,TorbenOfHerpes,182.0,,,3
Mercurial Season 36 - 15-Phosphorus 3 game 1,2026-07-27,henrymerrivale,202,RoxasVen,196,Firedart,-3.0,,,3
Mercurial Season 36 - 15-Phosphorus 5 game 1,2026-07-27,Gelato,273,Magnotta85,272,MartinW,225.0,,,3
Mercurial Season 36 - 16-Sulfur 3 game 1,2026-07-27,gabev,202,ChipsAhoya,161,holy834,-3.0,,,3
Mercurial Season 36 - 24-Chromium game 1,2026-07-27,mwi,255,Pitor,220,Dazzy,190.0,,,3
Mercurial Season 36 - 6-Carbon 1 game 1,2026-07-27,kaeptnblaubaer,166,Francesco1812,146,MajorGaz,99.0,,,3
Mercurial Season 36 - 1-Hydrogen 4 game 1,2026-07-28,Karmoth,189,BerdBlond,178,IrenaX,149.0,,,3
Mercurial Season 36 - 1-Hydrogen 6 game 1,2026-07-28,nolucknoskill,195,Rebel_Rebs,100,Fifagi,-5.0,,,3
Mercurial Season 36 - 10-Neon 8 game 1,2026-07-28,Depp,201,MoxNox,200,Tasso,184.0,,,3
Mercurial Season 36 - 11-Sodium 7 game 1,2026-07-28,Gubbstyv,239,SKJaCaRD,202,Lammoth,173.0,,,3
Mercurial Season 36 - 12-Magnesium 4 game 1,2026-07-28,BuWu,278,Kejml,210,Kelern,139.0,,,3
Mercurial Season 36 - 12-Magnesium 6 game 1,2026-07-28,Bergen,218,DadboBaggins,193,humanmoves,180.0,,,3
Mercurial Season 36 - 18-Argon 3 game 1,2026-07-28,Turdle,158,funnytortoise,144,PlanarFreak,132.0,,,3
Mercurial Season 36 - 21-Scandium 2 game 1,2026-07-28,pajada,222,yaop,215,Raffaello,151.0,,,3
Mercurial Season 36 - 5-Boron 1 game 1,2026-07-28,Claudius74,261,Pigeonpostman,239,Cristiancordeu,182.0,,,3
Mercurial Season 36 - 6-Carbon 2 game 1,2026-07-28,Micha501,150,Wyszek,124,tanman,82.0,,,3
Mercurial Season 36 - 6-Carbon 5 game 1,2026-07-28,GerwinW,197,AnBeLi3v4bLe,141,oleKanin,114.0,,,3
Mercurial Season 36 - 7-Nitrogen 4 game 1,2026-07-28,verbalg,277,Purplegoo,197,bambi4,180.0,,,3
Mercurial Season 36 - 8-Oxygen 2 game 1,2026-07-28,collace,195,SeanHandley,195,Michcio,149.0,,,3
Mercurial Season 36 - 1-Hydrogen 3 game 1,2026-07-29,anonaki,165,OhNoItsNot,161,Caligulala,161.0,,,3
Mercurial Season 36 - 10-Neon 6 game 1,2026-07-29,broskiumenyiora,180,Bookhouseboy,170,vagrantil,152.0,,,3
Mercurial Season 36 - 13-Aluminium 6 game 1,2026-07-29,JohnyT,276,Kimmo,229,Saerleon,223.0,,,3
Mercurial Season 36 - 14-Silicon 3 game 1,2026-07-29,Rolls.Royal,168,Mephist,148,ChampDeGlace,145.0,,,3
Mercurial Season 36 - 18-Argon 2 game 1,2026-07-29,DarKStyle,237,roverandom,201,BoatyMcBoatface,118.0,,,3
Mercurial Season 36 - 5-Boron 2 game 1,2026-07-29,Cleveman,283,J-dog,184,thomas.h.hoff,-5.0,,,3
Mercurial Season 36 - 9-Fluorine 5 game 1,2026-07-29,Sarek,143,RiRu,128,FireBones,84.0,,,3
Mercurial Season 36 - 10-Neon 5 game 1,2026-07-30,Ratsia,248,guppyfry,246,KEIL,210.0,,,3
Mercurial Season 36 - 11-Sodium 2 game 1,2026-07-30,Kivok,188,Pudroe,176,pavelceska,161.0,,,3
